bucket,win_rate,n,feature,target,threshold
"(0.154, 0.317]",0.21341463414634146,656,ret_4h,call_win_2p5,2.5
"(0.317, 0.537]",0.2085889570552147,652,ret_4h,call_win_2p5,2.5
"(0.537, 0.938]",0.2147239263803681,652,ret_4h,call_win_2p5,2.5
"(0.938, 6.97]",0.27607361963190186,652,ret_4h,call_win_2p5,2.5
"(-8.54, -2.296]",0.29017857142857145,672,ret_1d,call_win_2p5,2.5
"(-2.296, -1.281]",0.12654320987654322,648,ret_1d,call_win_2p5,2.5
"(-1.281, -0.645]",0.20955315870570107,649,ret_1d,call_win_2p5,2.5
"(-0.645, -0.295]",0.19907407407407407,648,ret_1d,call_win_2p5,2.5
"(-0.295, 0.0207]",0.21296296296296297,648,ret_1d,call_win_2p5,2.5
"(0.0207, 0.412]",0.1636904761904762,672,ret_1d,call_win_2p5,2.5
"(0.412, 0.901]",0.2854938271604938,648,ret_1d,call_win_2p5,2.5
"(0.901, 1.268]",0.16820987654320987,648,ret_1d,call_win_2p5,2.5
"(1.268, 2.461]",0.1527777777777778,648,ret_1d,call_win_2p5,2.5
"(2.461, 9.534]",0.20679012345679013,648,ret_1d,call_win_2p5,2.5
"(-5.531000000000001, -0.645]",0.3231240428790199,653,accel_1h,call_win_2p5,2.5
"(-0.645, -0.38]",0.19601837672281777,653,accel_1h,call_win_2p5,2.5
"(-0.38, -0.226]",0.15773353751914243,653,accel_1h,call_win_2p5,2.5
"(-0.226, -0.104]",0.1883614088820827,653,accel_1h,call_win_2p5,2.5
"(-0.104, -0.00691]",0.16232771822358347,653,accel_1h,call_win_2p5,2.5
"(-0.00691, 0.0942]",0.14570552147239263,652,accel_1h,call_win_2p5,2.5
"(0.0942, 0.214]",0.16539050535987748,653,accel_1h,call_win_2p5,2.5
"(0.214, 0.369]",0.1776416539050536,653,accel_1h,call_win_2p5,2.5
"(0.369, 0.644]",0.21286370597243492,653,accel_1h,call_win_2p5,2.5
"(0.644, 8.093]",0.2879019908116386,653,accel_1h,call_win_2p5,2.5
"(-5.855, -1.101]",0.40275650842266464,653,close_vs_ema24,call_win_2p5,2.5
"(-1.101, -0.561]",0.20214395099540583,653,close_vs_ema24,call_win_2p5,2.5
"(-0.561, -0.301]",0.12098009188361408,653,close_vs_ema24,call_win_2p5,2.5
"(-0.301, -0.114]",0.11638591117917305,653,close_vs_ema24,call_win_2p5,2.5
"(-0.114, 0.0422]",0.14241960183767227,653,close_vs_ema24,call_win_2p5,2.5
"(0.0422, 0.213]",0.17791411042944785,652,close_vs_ema24,call_win_2p5,2.5
"(0.213, 0.42]",0.15313935681470137,653,close_vs_ema24,call_win_2p5,2.5
"(0.42, 0.673]",0.18989280245022971,653,close_vs_ema24,call_win_2p5,2.5
"(0.673, 1.142]",0.2664624808575804,653,close_vs_ema24,call_win_2p5,2.5
